日期,时间,功率(KW)
3月4日,8:45,1107.2
3月4日,8:30,1380.8
3月4日,8:15,1054.4
3月4日,8:00,1025.6
3月4日,7:45,1814.4
3月4日,7:30,1715.2
3月4日,7:15,1769.6
3月4日,7:00,1809.6
3月4日,6:45,1603.2
3月4日,6:30,1768
3月4日,6:15,1736
3月4日,6:00,1531.2
3月4日,5:45,1638.4
3月4日,5:30,1656
3月4日,5:15,1716.8
3月4日,5:00,1515.2
3月4日,4:45,1588.8
3月4日,4:30,1628.8
3月4日,4:15,1729.6
3月4日,4:00,1747.2
3月4日,3:45,1628.8
3月4日,3:30,1569.6
3月4日,3:15,2116.8
3月4日,3:00,2144
3月4日,2:45,1987.2
3月4日,2:30,1993.6
3月4日,2:15,1899.2
3月4日,2:00,1950.4
3月4日,1:45,1812.8
3月4日,1:30,1584
3月4日,1:15,1636.8
3月4日,1:00,1592
3月4日,0:45,2072
3月4日,0:30,2062.4
3月4日,0:15,1755.2
3月4日,0:00,1707.2
3月3日,23:45,1638.4
3月3日,23:30,1592
3月3日,23:15,1409.6
3月3日,23:00,1452.8
3月3日,22:45,1337.6
3月3日,22:30,1561.6
3月3日,22:15,2134.4
3月3日,22:00,1916.8
3月3日,21:45,2204.8
3月3日,21:30,1579.2
3月3日,21:15,2081.6
3月3日,21:00,1923.2
3月3日,20:45,1848
3月3日,20:30,1342.4
3月3日,20:15,1320
3月3日,20:00,1195.2
3月3日,19:45,1382.4
3月3日,19:30,992
3月3日,19:15,1128
3月3日,19:00,1248
3月3日,18:45,1216
3月3日,18:30,1080
3月3日,18:15,1222.4
3月3日,18:00,1396.8
3月3日,17:45,1257.6
3月3日,17:30,1297.6
3月3日,17:15,1369.6
3月3日,17:00,1665.6
3月3日,16:45,1768
3月3日,16:30,1680
3月3日,16:15,1617.6
3月3日,16:00,1772.8
3月3日,15:45,1558.4
3月3日,15:30,1468.8
3月3日,15:15,1627.2
3月3日,15:00,1649.6
3月3日,14:45,1796.8
3月3日,14:30,1684.8
3月3日,14:15,1548.8
3月3日,14:00,1377.6
3月3日,13:45,1014.4
3月3日,13:30,1004.8
3月3日,13:15,1300.8
3月3日,13:00,673.6
3月3日,12:45,840
3月3日,12:30,825.6
3月3日,12:15,841.6
3月3日,12:00,601.6
3月3日,11:45,1004.8
3月3日,11:30,766.4
3月3日,11:15,868.8
3月3日,11:00,803.2
3月3日,10:45,435.2
3月3日,10:30,854.4
3月3日,10:15,1052.8
3月3日,10:00,969.6
3月3日,9:45,800
3月3日,9:30,968
3月3日,9:15,788.8
3月3日,9:00,886.4
3月3日,8:45,1204.8
